name,domain,category,description,cool_fact,url,reviewed_on_solosgems,pricing,date_added
Beehiiv,beehiiv.com,Newsletters,Newsletter platform built for monetization from day one; 0% commission on paid subscriptions.,"Takes 0% commission on paid subscriptions, unlike most newsletter platforms.",https://solosgems.com/reviews/beehiiv.html,True,unlisted,2026-08-01
Birdeye,birdeye.com,Local Business,"AI-powered reputation management for local businesses, automating review requests, monitoring, and responses. No free plan, starting around $299 per location per month.","Its pricing structure charges the full plan rate per physical location, which makes it a serious expense fast for any business with more than one storefront.",https://birdeye.com/,False,paid,2026-08-08
Bland AI,bland.ai,AI Phone Agents,"Programmable AI voice agents billed per minute, from $0.14/min.",Has resolved hundreds of millions of real phone calls to date.,https://solosgems.com/reviews/bland-ai.html,True,paid,2026-08-01
Bolt.new,bolt.new,Coding & Dev Tools,"A browser-based AI app builder built for fast, full-stack prototyping with no local setup.","Its daily token allowance resets every 24 hours, keeping it usable for ongoing experimentation.",https://bolt.new/,False,unlisted,2026-08-01
Bonsai,hellobonsai.com,CRM & Client Management,"Contracts, invoicing, and scheduling for freelancers; Essentials tier is the sweet spot.","Bundles contracts, invoicing, and scheduling into one dashboard built specifically for freelancers.",https://solosgems.com/reviews/bonsai.html,True,unlisted,2026-08-01
Buffer,buffer.com,Marketing & Social Media,Social media scheduling and analytics with a genuinely usable free tier for solo creators.,Built from the start for individual creators and small teams rather than enterprise social war rooms.,https://buffer.com/,False,free,2026-08-01
Cal.com,cal.com,Scheduling & Time,"An open-source Calendly alternative with AI-assisted routing forms and an AI phone agent, Cal.ai, that can take calls and book meetings on your behalf.","The free plan already includes routing forms, workflow automation, and Cal.ai phone agent features, most competitors gate all three behind a paid tier.",https://cal.com/,False,free,2026-08-16
Calendly,calendly.com,Scheduling & Time,Scheduling with AI-assisted call routing and no-show reduction.,Can route a booking to the right team member automatically based on the meeting type.,https://solosgems.com/reviews/calendly.html,True,unlisted,2026-08-01
Calm,calm.com,Health & Fitness,A meditation and sleep app with AI-personalized content recommendations.,Tailors its daily meditation and sleep content suggestions to your own usage patterns over time.,https://www.calm.com/,False,unlisted,2026-08-01
Canva Magic Studio,canva.com,Design & Photography,"AI design tools bundled into Canva Pro, from ~$10-15/month.","The current #1-ranked tool on Solos Gems, across all 43 tools reviewed.",https://solosgems.com/reviews/canva-magic-studio.html,True,paid,2026-08-01
CapCut,capcut.com,Video Generation,"ByteDance's free AI-powered video editor, built around fast short-form editing for social platforms.",Became one of the most-used video editing apps in the world largely through organic use by short-form creators.,https://www.capcut.com/,False,free,2026-08-01
Cashflowy,cashflowy.ai,Bookkeeping & Finance,"AI bookkeeping for solopreneurs and service-based freelancers, pairing an AI coach that reads your actual books with a human bookkeeper.","Includes a trained human bookkeeper at no extra charge on top of the AI layer, instead of AI as the only line of support.",https://www.cashflowy.ai/,False,unlisted,2026-08-08
Chatbase,chatbase.co,Customer Support,"Custom AI chatbot trained on your own site or docs, from $32/month.","Trains exclusively on your own content, so answers stay consistent with your actual policies.",https://solosgems.com/reviews/chatbase.html,True,paid,2026-08-01
ChatGPT,chatgpt.com,AI Assistants,"OpenAI's general-purpose AI chatbot, handles writing, coding, research, and image generation in one conversation.",Became one of the fastest-growing consumer apps in history after its 2022 launch.,https://chatgpt.com/,False,unlisted,2026-08-01
ChatGPT Atlas,chatgpt.com,AI Search & Browsing,"OpenAI's own web browser, with ChatGPT built into the sidebar and an agent mode that can complete tasks for you.","Its agent mode can research, compare, and complete multi-step browsing tasks directly on live webpages.",https://chatgpt.com/atlas,False,unlisted,2026-08-01
Chattermill,chattermill.com,Forms & Surveys,"AI feedback analytics that ties customer survey responses to NPS, CSAT, and revenue outcomes.","Reads open-text feedback across every channel at once, support tickets, reviews, surveys, in one unified view.",https://chattermill.com/,False,unlisted,2026-08-01
Claude,claude.ai,AI Assistants,"Anthropic's AI assistant, built with a focus on careful reasoning and long-context conversations.",Can hold entire books or codebases in a single conversation thanks to its large context window.,https://claude.ai/,False,unlisted,2026-08-01
Clay,clay.com,Sales & Prospecting,A data enrichment and prospecting platform that pulls from 150+ data providers into one workflow.,Lets you chain dozens of different data sources and AI steps into a single custom prospecting pipeline.,https://www.clay.com/,False,unlisted,2026-08-01
Cleanvoice,cleanvoice.ai,Podcasting & Video Editing,"Automated podcast audio cleanup that strips filler words, breaths, stutters, and long pauses from a raw recording.","Its filler-word detection works across multiple languages, not just English, and can shorten long dead-air pauses automatically.",https://cleanvoice.ai/,False,unlisted,2026-08-08
Cleo,meetcleo.com,Personal Finance,"A conversational AI budgeting assistant built to make money management approachable, aimed at younger users.","Delivers budgeting nudges through a chat interface with personality, rather than a traditional dashboard.",https://www.meetcleo.com/,False,unlisted,2026-08-01
ClickUp Brain,clickup.com,Project Management,"AI layer on ClickUp's project management platform, sold as a paid add-on ($7-9/month) on top of a base plan.","Best for solopreneurs already using ClickUp for task tracking, since per-seat AI pricing math favors a team of one.",https://solosgems.com/reviews/clickup-ai.html,True,paid,2026-08-01
CodeRabbit,coderabbit.ai,Coding & Dev Tools,An AI code review bot that leaves line-by-line comments on every pull request automatically.,Learns a repo's own conventions over time instead of applying the same generic style rules to every project.,https://www.coderabbit.ai/,False,unlisted,2026-08-01
Composer,composer.trade,Investing & Markets,"AI-assisted, no-code trading strategy builder that backtests stock and ETF strategies, with a free tier for building and backtesting, or $32/month for live automated execution.","You describe a trading idea in plain language or a visual editor, and it turns that into a fully automated, rebalancing strategy without writing a line of code.",https://www.composer.trade/,False,free,2026-08-08
Consensus,consensus.app,Research & Knowledge,An AI search engine that answers questions using evidence from peer-reviewed research papers.,Shows a visual 'Consensus Meter' indicating how much scientific agreement exists on a given question.,https://consensus.app/,False,unlisted,2026-08-01
Copilot Money,copilot.money,Personal Finance,AI-powered personal budgeting and net-worth tracking with automatic transaction categorization.,Its AI learns your individual spending patterns over time instead of relying on generic category rules.,https://copilot.money/,False,unlisted,2026-08-01
Copy.ai,copy.ai,Writing & Copywriting,AI copywriting with a real free tier and workflow automation beyond straight copywriting.,Expanded past content generation into full go-to-market workflow automation.,https://solosgems.com/reviews/copyai-vs-jasper.html,True,free,2026-08-01
Craft,craft.do,Productivity & Notes,A visually polished notes and document app with AI writing assistance.,"Positioned as a more design-forward, visual alternative to Notion.",https://solosgems.com/reviews/craft.html,True,unlisted,2026-08-01
Creatify,creatify.ai,Video Generation,"Turns a product link into AI avatar-led, UGC-style video ads at scale.",Built specifically for the fast turnaround and volume that brand-deal and performance-ad work demands.,https://creatify.ai/,False,unlisted,2026-08-01
Cursor,cursor.com,Coding & Dev Tools,AI-native code editor for solopreneurs building their own product.,"It's a fork of VS Code, so most existing extensions and workflows carry over.",https://solosgems.com/reviews/cursor.html,True,unlisted,2026-08-01
D-ID,d-id.com,Video Generation,AI avatar video with an API-first design built for developers to embed into their own apps.,Powers things like interactive museum guides and AI tutors that talk back in real time.,https://www.d-id.com/,False,unlisted,2026-08-01
Danelfin,danelfin.com,Investing & Markets,An AI stock-rating platform that scores stocks on a 1-10 scale based on machine-learning models trained on historical data.,Publishes the specific factors behind each score instead of a black-box rating with no explanation.,https://danelfin.com/,False,unlisted,2026-08-01
DeepL,deepl.com,Translation & Localization,AI translation widely regarded as the accuracy leader for European languages.,"Frequently outperforms larger general-purpose AI models on nuanced, idiomatic translation quality.",https://www.deepl.com/,False,unlisted,2026-08-01
DeepSeek,deepseek.com,AI Assistants,An AI lab's chatbot that rivals top models while publishing its models with open weights.,"Its models can be downloaded and run by anyone, not just accessed through a paid API.",https://www.deepseek.com/,False,unlisted,2026-08-01
Descript,descript.com,Podcasting & Video Editing,Edit audio/video by editing a text transcript.,Deleting a word from the transcript deletes it from the actual audio and video too.,https://solosgems.com/reviews/descript.html,True,unlisted,2026-08-01
Devin,devin.ai,Coding & Dev Tools,"An autonomous AI software engineer that plans, writes, tests, and submits code changes on its own.","Hand it a task like 'fix this GitHub issue' and it executes the fix inside its own cloud sandbox, unsupervised.",https://devin.ai/,False,unlisted,2026-08-01
DocuSign,docusign.com,Legal,"The most widely recognized e-signature platform, now with AI-powered contract analysis and workflow automation.",Its Navigator feature reads and organizes every signed contract into a searchable repository automatically.,https://www.docusign.com/,False,unlisted,2026-08-01
Dovetail,dovetail.com,Forms & Surveys,"An AI-assisted research repository that organizes interviews, surveys, and notes into searchable themes.",Can surface a recurring theme across dozens of past user interviews in seconds instead of a manual re-read.,https://dovetail.com/,False,unlisted,2026-08-01
Durable,durable.co,Website & App Builders,"Generates a full small-business website, copy, images, and booking, in under a minute.",Also auto-generates basic business tools like invoices and a CRM alongside the website itself.,https://solosgems.com/reviews/durable.html,True,unlisted,2026-08-01
eesel AI,eesel.ai,Customer Support,"Layers an AI support agent on top of a helpdesk you already use, Zendesk, Freshdesk, Gorgias, and 100+ others, billed per resolved ticket.","Bills around $0.40 per resolved ticket instead of a flat monthly seat fee, so cost tracks actual support volume.",https://www.eesel.ai/,False,paid,2026-08-08
ElevenLabs,elevenlabs.io,Voice & Music,AI voice generation and cloning; free tier is watermarked and non-commercial.,Can clone a convincing voice from just a short audio sample.,https://solosgems.com/reviews/elevenlabs.html,True,free,2026-08-01
Elicit,elicit.com,Research & Knowledge,An AI research assistant built for systematic literature reviews and evidence extraction.,Can pull structured data out of hundreds of academic papers at once instead of you reading each one manually.,https://elicit.com/,False,unlisted,2026-08-01
Epique AI,epique.ai,Real Estate,"An AI platform built specifically for real estate agents: listing descriptions, client emails, and social posts.",Generates MLS-ready listing copy alongside the buyer and seller emails an agent needs for the same transaction.,https://www.epique.ai/,False,unlisted,2026-08-01
Fathom,fathom.video,Meetings & Transcription,"A free AI meeting recorder that transcribes, summarizes, and highlights action items automatically.",Its core recording and summarization features are free with no minutes cap.,https://fathom.video/,False,unlisted,2026-08-01
Fireflies.ai,fireflies.ai,Meetings & Transcription,"Meeting transcription with unlimited minutes on every tier, including free.","Unlimited transcription minutes even on its free plan, unusual for the category.",https://solosgems.com/reviews/fireflies-ai.html,True,free,2026-08-01
Fitbod,fitbod.me,Health & Fitness,AI-personalized strength training plans that adapt each workout based on what you did last time.,Adjusts the next workout's exercises and volume based on your recovery and performance in the last session.,https://www.fitbod.me/,False,unlisted,2026-08-01
Flux,bfl.ai,Image Generation,A photorealism-focused image generation model from Black Forest Labs.,"Built by former Stable Diffusion researchers, it's become a common benchmark for photorealistic AI image quality.",https://bfl.ai/,False,unlisted,2026-08-01
Framer,framer.com,Website & App Builders,"AI-assisted website builder; generate and publish a real site from a prompt, then edit visually.","The free plan is genuinely usable to launch a real, live site, not a crippled demo.",https://solosgems.com/reviews/framer.html,True,free,2026-08-01
Freepik AI,freepik.com,Image Generation,"AI image generation built into Freepik's massive stock photo, vector, and template library.",Lets you generate a new image and drop it straight into a stock template in the same workspace.,https://www.freepik.com/ai,False,unlisted,2026-08-01
Fyxer AI,fyxer.com,Email & Messaging,"An AI email assistant for Gmail and Outlook that triages your inbox into priority categories, drafts replies in your tone, and joins video calls to take notes.","There's no permanent free tier, every plan starts as a 7-day trial before billing kicks in at $30/user/month.",https://fyxer.com/,False,free,2026-08-16
Gamma,gamma.app,Presentations & Design,"Turns a prompt into a formatted slide deck, document, or webpage.","The same prompt can output a slide deck, a one-page doc, or a simple website.",https://solosgems.com/reviews/gamma.html,True,unlisted,2026-08-01
Gemini,gemini.google.com,AI Assistants,"Google's AI assistant, deeply integrated across Search, Docs, Gmail, and Android.","Natively understands images, video, and audio in the same conversation, not just text.",https://gemini.google.com/,False,unlisted,2026-08-01
Genspark,genspark.ai,AI Search & Browsing,"An all-in-one AI workspace built around a Super Agent that can research, build slide decks, analyze data, and make calls from a single dashboard.","Basic AI chat and image generation run on zero credits through the end of 2026, a temporary perk buried in the pricing fine print.",https://www.genspark.ai/,False,unlisted,2026-08-16
GitHub Copilot,github.com,Coding & Dev Tools,"GitHub's AI pair programmer, built directly into your code editor.","One of the earliest mainstream AI coding tools, it helped popularize AI-assisted programming as a category.",https://github.com/features/copilot,False,unlisted,2026-08-01
GPTZero,gptzero.me,AI Detection & Plagiarism,"One of the first widely-used AI-text detectors, aimed at teachers and publishers checking for AI-written content.",Was originally built by a Princeton student before growing into one of the most recognized names in AI detection.,https://gptzero.me/,False,unlisted,2026-08-01
Grain,grain.com,Meetings & Transcription,AI meeting recording built around turning call moments into shareable video clips.,Designed so sales and customer teams can clip a 30-second moment from a call instead of the whole recording.,https://grain.com/,False,unlisted,2026-08-01
Grammarly,grammarly.com,Writing & Copywriting,"Grammar, tone, and clarity checking everywhere you write.","Checks writing inside almost any app on your device, not just its own editor.",https://solosgems.com/reviews/grammarly.html,True,unlisted,2026-08-01
Granola,granola.ai,Meetings & Transcription,An AI notetaker that runs on your desktop and never joins the call as a visible bot.,"Builds its notes from your own rough, typed scribbles during the meeting, not just a raw transcript.",https://solosgems.com/reviews/granola.html,True,unlisted,2026-08-16
Grok,grok.com,AI Assistants,"xAI's chatbot, built into X (formerly Twitter) with real-time access to what's trending on the platform.",Grok Imagine can generate images and short videos from the same chat window.,https://grok.com/,False,unlisted,2026-08-01
Gumloop,gumloop.com,Automation & Workflow,"A no-code AI automation platform where you build workflows on a visual canvas, chaining triggers, logic, integrations, and AI actions including web scraping and document parsing.","It can run multiple AI sub-agents in parallel within a single workflow, each handling a different task at the same time.",https://www.gumloop.com/,False,unlisted,2026-08-16
Harness AI,harness.io,Coding & Dev Tools,AI-assisted CI/CD platform that helps automate software delivery pipelines and flag deployment risk.,Can automatically roll back a bad deployment the moment it detects an anomaly in production.,https://www.harness.io/,False,unlisted,2026-08-01
HeyGen,heygen.com,Video Generation,AI avatar video generation with strong lip-sync and video translation.,Can take a video in English and dub it into dozens of languages while matching the speaker's lips to the new language.,https://www.heygen.com/,False,unlisted,2026-08-01
Higgsfield,higgsfield.ai,Video Generation,An AI video generation platform built around cinematic camera movement and stylized motion presets.,"Offers a library of named camera-move presets, so a specific dramatic zoom or pan can be applied with one click instead of a prompt.",https://higgsfield.ai/,False,unlisted,2026-08-08
HireVue,hirevue.com,HR & Recruiting,"Structured, AI-assisted video interviewing built for enterprise hiring at volume.",Uses science-backed assessment models to keep interview scoring consistent across hundreds of candidates.,https://www.hirevue.com/,False,unlisted,2026-08-01
Hootsuite,hootsuite.com,Marketing & Social Media,"Social media scheduling, listening, and analytics for teams managing multiple accounts across platforms.",Its built-in OwlyWriter AI can draft new captions by learning from your own past best-performing posts.,https://www.hootsuite.com/,False,unlisted,2026-08-01
HubSpot Free CRM,hubspot.com,CRM & Client Management,Free CRM tier is genuinely solid; AI features (Breeze) are rate-limited or paid.,"The free CRM tier has no user cap or expiration date, unusual among free CRM offers.",https://solosgems.com/reviews/hubspot-free-crm.html,True,unlisted,2026-08-01
Hugging Face,huggingface.co,Coding & Dev Tools,"The largest hub for open-source AI models, datasets, and demo spaces.","Hosts well over a million public models and datasets, most of it free to download and run.",https://huggingface.co/,False,unlisted,2026-08-08
Ideogram,ideogram.ai,Image Generation,An AI image generator that specializes in getting readable text inside the image right.,"Reaches roughly 90% accuracy rendering legible text and logos inside generated images, long a weak spot for image models.",https://ideogram.ai/,False,unlisted,2026-08-01
Instantly.ai,instantly.ai,Sales & Prospecting,Cold email outreach and deliverability tooling with AI-assisted copywriting.,Built specifically to manage inbox rotation and warmup so outreach at volume doesn't land in spam.,https://instantly.ai/,False,unlisted,2026-08-01
Intercom Fin,intercom.com,Customer Support,"Intercom's AI agent that resolves customer support tickets autonomously, escalating to a human only when needed.",Can resolve a large share of incoming support volume start to finish with no human agent involved.,https://www.intercom.com/fin,False,unlisted,2026-08-01
Interior AI,interiorai.com,Interior Design,Generates fully styled interior spaces from a room photo or a plain-language description.,"Can also auto-generate a matching mood board alongside the redesigned room, not just a single image.",https://interiorai.com/,False,unlisted,2026-08-01
Ironclad,ironclad.com,Legal,"A contract lifecycle management platform that uses AI to route, negotiate, and track agreements end to end.",Can automatically flag which clauses in an incoming contract deviate from a company's pre-approved playbook.,https://ironclad.com/,False,unlisted,2026-08-01
Jamie,meetjamie.ai,Meetings & Transcription,"A bot-free AI notetaker that captures audio locally, in person or online, without a visible bot joining the call.","Runs on European servers and is built GDPR-first, aimed at meetings where a visible recording bot isn't an option.",https://www.meetjamie.ai/,False,unlisted,2026-08-08
Jasper,jasper.ai,Writing & Copywriting,AI copywriting focused on brand-voice consistency for marketing teams.,Its brand-voice training keeps tone consistent across a high volume of generated content.,https://solosgems.com/reviews/copyai-vs-jasper.html,True,unlisted,2026-08-01
Jobscan,jobscan.io,Career & Job Search,Tests a resume directly against the applicant tracking systems that will actually screen it.,"Checks resume match against named ATS platforms like Workday, Greenhouse, and iCIMS, not a generic score.",https://www.jobscan.co/,False,unlisted,2026-08-01
Juicebox,juicebox.ai,HR & Recruiting,AI-powered candidate sourcing that lets recruiters search in plain language across hundreds of millions of profiles.,Replaces manually-built Boolean search strings with a single natural-language sourcing query.,https://juicebox.ai/,False,unlisted,2026-08-01
Julius AI,julius.ai,Data & Analytics,"An AI data analyst that can analyze spreadsheets, build forecasts, and create charts from a plain-language request.","Can train and run actual machine learning models from a conversational prompt, not just make charts.",https://julius.ai/,False,unlisted,2026-08-01
Kagi,kagi.com,AI Search & Browsing,"A paid, ad-free search engine with AI features layered on top and no ads or tracking to fund it.",Lets you manually boost or block specific websites from ever appearing in your results again.,https://kagi.com/,False,unlisted,2026-08-01
Kapwing,kapwing.com,Video Generation,"An all-in-one video editor with AI subtitles, translation, and dubbing built alongside normal editing tools.","Handles auto-subtitles in 100+ languages and dubbing in 70+, without leaving the main editor.",https://www.kapwing.com/,False,unlisted,2026-08-01
Khanmigo,khanacademy.org,Education & Tutoring,"Khan Academy's AI tutor, free for teachers and low-cost for families, built to guide rather than give answers.","Acts as a Socratic tutor across math, science, and test prep, prompting students toward the answer instead of stating it.",https://www.khanacademy.org/khan-labs,False,free,2026-08-01
Klevu,klevu.com,E-commerce,AI-powered on-site search and product discovery built for large product catalogs.,"Optimizes search results for actual revenue per query, not just keyword relevance.",https://www.klevu.com/,False,unlisted,2026-08-01
Kling AI,klingai.com,Video Generation,A video generator known for realistic motion and a generous free tier.,"Its Omni mode can lip-sync two different characters in one scene, each mouth matched to its own audio track.",https://klingai.com/,False,free,2026-08-01
Koala AI,koala.sh,Writing & Copywriting,"AI writer built for SEO-optimized articles, from $9/month.","Runs real-time SERP analysis before drafting, structuring articles to actually compete for a keyword.",https://solosgems.com/reviews/koala-ai.html,True,paid,2026-08-01
Krea AI,krea.ai,Image Generation,"Real-time AI image generation and upscaling, showing results as you sketch or adjust the prompt.","Updates the generated image live as you draw or type, instead of waiting for a full render each time.",https://www.krea.ai/,False,unlisted,2026-08-01
LangChain,langchain.com,Coding & Dev Tools,"A framework for building LLM-powered apps and agents, chaining prompts, tools, and memory into one pipeline.",Became such a default starting point for early AI agent projects that its name turned into shorthand for the whole category.,https://www.langchain.com/,False,unlisted,2026-08-08
LegesGPT,legesgpt.com,Legal,"AI contract drafting, review, and citation checking aimed at solo lawyers and small firms, from $19.99/month.","Checks citations and drafting conventions across 38+ jurisdictions, not just a single country's legal system.",https://www.legesgpt.com/,False,paid,2026-08-08
Leonardo AI,leonardo.ai,Image Generation,"AI image generation aimed at game assets, concept art, and stylized illustration.",Its Phoenix model and real-time canvas are popular specifically with game studios for concept art pipelines.,https://leonardo.ai/,False,unlisted,2026-08-01
Lettuce,lettuce.co,Bookkeeping & Finance,"Bookkeeping, payroll, taxes, and AI-powered financial insights bundled specifically for S-corp solopreneurs.","Built around the specific tax mechanics of a one-person S-corp, a structure most general bookkeeping tools treat as an afterthought.",https://www.lettuce.co/,False,unlisted,2026-08-08
Lex,lex.page,Writing & Copywriting,"A distraction-free AI word processor where you write normally and trigger AI feedback, brainstorming, or rewriting with a typed shortcut instead of a separate chat window.","Style Guides can be trained on your own past writing samples, so its suggestions start sounding like you instead of generic AI.",https://lex.page/,False,unlisted,2026-08-16
Lindy,lindy.ai,Automation & Workflow,"An AI executive assistant that triages your inbox, drafts replies in your voice, and coordinates scheduling, from $49.99/month after a 7-day trial.","Can join and summarize your meetings, then update your CRM automatically, without you touching a keyboard.",https://www.lindy.ai/,False,paid,2026-08-08
Lokalise,lokalise.com,Translation & Localization,A localization management platform that uses AI to translate and manage product and app content at scale.,Plugs directly into a product's codebase so new strings get flagged for translation automatically as they ship.,https://lokalise.com/,False,unlisted,2026-08-01
Looka,looka.com,Presentations & Design,An AI logo and brand identity generator aimed at new small businesses.,"Generates a full brand kit, logo, colors, fonts, and social templates, from a single questionnaire.",https://looka.com/,False,unlisted,2026-08-01
Loom,loom.com,Meetings & Transcription,Async video messaging with AI transcripts and summaries; free tier caps videos at 5 minutes.,Auto-generates a written summary and action items from any recorded video.,https://solosgems.com/reviews/loom.html,True,free,2026-08-01
Lovable,lovable.dev,Coding & Dev Tools,"Describe an app in plain English and get a working frontend and backend, from $25/month.","Lets you keep iterating conversationally, 'add a login page', instead of writing code yourself.",https://solosgems.com/reviews/lovable.html,True,paid,2026-08-01
Luma Dream Machine,lumalabs.ai,Video Generation,"AI video generation known for realistic depth, camera movement, and physical space.","Started as a 3D-capture company before pivoting to video, which shows in how well it renders room depth.",https://lumalabs.ai/,False,unlisted,2026-08-01
Lumen5,lumen5.com,Video Generation,"Turns a blog post, article, or script into a branded video with stock footage, AI voiceover, and captions, usually in under two minutes.","The entire workflow starts from a pasted URL, not a video file, it reads the article and builds the storyboard itself.",https://lumen5.com/,False,unlisted,2026-08-16
Luminance,luminance.com,Legal,AI built for bulk contract review and due diligence at enterprise scale.,Can process thousands of contracts during a due-diligence review far faster than a team reading them manually.,https://www.luminance.com/,False,unlisted,2026-08-01
MagicSchool AI,magicschool.ai,Education & Tutoring,"An AI toolkit built for teachers, covering lesson plans, rubrics, feedback, and classroom communication.",Its free tier includes more usable tools than many competing paid education platforms.,https://www.magicschool.ai/,False,free,2026-08-01
Make,make.com,Automation & Workflow,Visual automation platform and a direct alternative to Zapier; credit-based pricing.,"Its canvas-style builder shows an entire automation, branches and all, on one screen.",https://solosgems.com/reviews/make.html,True,unlisted,2026-08-01
Manus,manus.im,AI Search & Browsing,"A general-purpose AI agent that browses the web, does research, and can publish working web apps on its own.","Can go from a plain-language brief to a working, published web app without a developer in the loop.",https://manus.im/,False,unlisted,2026-08-01
Mem,mem.ai,Productivity & Notes,An AI-first notes app that organizes and resurfaces what you've written without manual folders or tags.,"Lets you capture notes with no upfront structure, then automatically links and organizes them for you.",https://get.mem.ai/,False,unlisted,2026-08-01
Meshy,meshy.ai,3D & Game Dev,"Generates 3D models from a text prompt or image, with auto-rigging and animation presets built in.",Its texture generation can produce game-ready PBR materials that need little to no post-processing.,https://www.meshy.ai/,False,unlisted,2026-08-01
Meta AI,meta.ai,AI Assistants,"Meta's free AI assistant, built directly into Instagram, WhatsApp, Facebook, and Messenger.","Runs inside the messaging apps billions of people already have open, no separate app required.",https://www.meta.ai/,False,free,2026-08-01
Microsoft Copilot,copilot.microsoft.com,AI Assistants,"Microsoft's AI assistant woven directly into Word, Excel, Outlook, and Windows itself.",Can see and act on what's already open on your screen inside Microsoft 365 apps.,https://copilot.microsoft.com/,False,unlisted,2026-08-01
Midjourney,midjourney.com,Image Generation,Distinctive AI image generation; no free plan.,Started as a Discord bot and still runs primarily through Discord commands.,https://solosgems.com/reviews/midjourney.html,True,paid,2026-08-01
Mistral Le Chat,chat.mistral.ai,AI Assistants,"A European AI assistant from Mistral, built with a privacy-first, GDPR-compliant approach.","Remembers details from conversations weeks earlier, even on the free tier.",https://chat.mistral.ai/,False,free,2026-08-01
Monarch Money,monarchmoney.com,Personal Finance,"A budgeting and financial tracking app that gives a single clear view of spending, saving, and net worth.","Built to give a full household financial picture in one dashboard, not just a single account view.",https://www.monarchmoney.com/,False,unlisted,2026-08-01
Motion,usemotion.com,Scheduling & Time,AI calendar that auto-schedules your tasks around meetings; no free plan.,Automatically re-shuffles your task schedule the moment a new meeting gets booked.,https://solosgems.com/reviews/motion.html,True,paid,2026-08-01
